Speaker,Spoken to,Dialogue
Sirius Black,Walburga Black,"Shut up, you miserable old hag! Quiet!"
Walburga Black,Harry Potter,"Blood traitor, abomination, shame of my flesh!"
Sirius Black,Walburga Black,"Yes, yes, do shut up!"
Harry Potter,Sirius Black,Was that your--?
Sirius Black,Harry Potter,"Mother, yes. Dear old mum."
Harry Potter,Sirius Black,But...why here?
Sirius Black,Harry Potter,"This house has been my family's for centuries. It's mine now. I'm the last of the Blacks. I offered it up as a headquarters for, well, and dumbledore accepted. It's about the most useful thing I've been ableto do for a long while"
Molly Weasley,Harry Potter,"Hello, Harry dear."
Harry Potter,Molly Weasley,Mrs. Weasley!
Molly Weasley,Sirius Black,"Sirius, the meeting is about to start!"
Sirius Black,Molly Weasley,Right.
Molly Weasley,Hermione Granger,"Harry, dear, go on upstairs-— quietly, if you please. They're all up there."
Hermione Granger,Harry Potter,Harry!
Ron Weasley,Hermione Granger,"Let him breathe, Hermione!"
Hermione Granger,Harry Potter,"Oh, Harry! We've missed you! Are you furious with us, I bet you are!"
Ron Weasley,Harry Potter,"Good to see you, mate."
Hermione Granger,Ron Weasley,"Come on, inside."
Hermione Granger,Harry Potter,"Sorry we haven't written, Harry, but Dumbledore made us promise not to."
Ron Weasley,Harry Potter,"We wanted to, mate, we really did, but he thought they would get intercepted. There is an awkward silence."
Harry Potter,Ron Weasley,Right.
Ron Weasley,Hermione Granger,He thought you would be safest there.
Harry Potter,Hermione Granger,"Yeah, real safe. Attacked by Dementors, that's safe, that is."
Hermione Granger,Harry Potter,He was so angry when he heard. It was...scary...
Harry Potter,Hermione Granger,"So, why's he keeping me in the dark?"
Harry Potter,Ron Weasley,Didn't you bother asking?
Ron Weasley,Harry Potter,"We've only seen him twice, and not for very long. He's really busy."
Harry Potter,Ron Weasley,So I get to spend the summer with the Dursleys while you two are here.
Ron Weasley,Harry Potter,"It's not that fun, mate. Mum won't let us anywhere near the meetings."
Harry Potter,Ron Weasley,You've still been here!
Harry Potter,Ron Weasley,What's been going on?
Ron Weasley,Hermione Granger,"We've already told you, we're not privyed to the meetings. But we do know a few things."
Hermione Granger,Harry Potter,"Some of the Order are following known Death Eaters, like Lucious Malfoy. And they're guarding something."
Harry Potter,Hermione Granger,What's this Order Everybody's talking about?
Hermione Granger,Harry Potter,The Order of the Phoenix. Dumbledore started it last time to fight You-Know-Who. He only reorganized it after last term.
Molly Weasley,Harry Potter,"You can come down now, the meeting's over."
Molly Weasley,Arthur Weasley,Arthur-
Sirius Black,Harry Potter,"Well, the Ministry is furious with you."
Harry Potter,Sirius Black,Why?
Sirius Black,Harry Potter,You did magic in front of your muggle cousin.
Sirius Black,Harry Potter,You'll have to go to an disciplinary meeting tomorrow.
Harry Potter,Sirius Black,Okay.
Harry Potter,Sirius Black,I'm not really hungry. I think I'll go to bed.
Sirius Black,Harry Potter,"You surprise me, Harry. I figured the first thing you'd do is start asking about Voldemort."
Harry Potter,Sirius Black,"I wanted to, but I didn't think you'd tell me anything."
Molly Weasley,Harry Potter,"And that was quite right, Harry! You're much to young--"
Sirius Black,Molly Weasley,"He has a right to know, Molly."
Molly Weasley,Sirius Black,It's not your decision!
Sirius Black,Molly Weasley,"I know what Dumbledore said, but he needs to know something."
Harry Potter,Molly Weasley,Yeah
Sirius Black,Molly Weasley,"He's not a child, Molly."
Molly Weasley,Sirius Black,He's not an adult either! He's not James.
Sirius Black,Molly Weasley,"I'm fully aware of who he is, Molly"
Molly Weasley,Sirius Black,I only have Harry's best interests at heart.
Sirius Black,Molly Weasley,He's not your son.
Molly Weasley,Sirius Black,"Who else does he have, then?"
Sirius Black,Molly Weasley,He's got me. He's like a son to me. 
Sirius Black,Harry Potter,"What do you want to know, Harry?"
Harry Potter,Sirius Black,Where's Voldemort? What's he doing?
Sirius Black,Harry Potter,"He's hiding for the moment, because the Ministry is ignoring his return and he doesn't want that to change."
Remus Lupin,Harry Potter,"You really messed things up for him last year, Harry."
Harry Potter,Remus Lupin,How?
Sirius Black,Harry Potter,The last person You-Know-Who wanted to alert was Dumbledore.
Harry Potter,Sirius Black,And what's his plan?
Sirius Black,Harry Potter,"He's building up his army again, just like before."
Harry Potter,Remus Lupin,And you're stopping him from gaining followers?
Remus Lupin,Harry Potter,"We're doing our best, but it's proving to be...difficult."
Sirius Black,Harry Potter,"You see, when the Ministry of Magic insists that Voldemort isn't back."
Harry Potter,Remus Lupin,But...why?
Remus Lupin,Harry Potter,"Fudge likes being Minister of Magic. If it turns out that Voldemort came back under his watch, he'll be sacked."
Harry Potter,Sirius Black,"But you're telling people, right?"
Sirius Black,Harry Potter,"Well, they think I'm a mass- murderer, Lupin is a werewolf, Tonks and Arthur would lose their jobs at the Ministry..."
Remus Lupin,Harry Potter,But Dumbledore is doing all he can.
Arthur Weasley,Harry Potter,"If he keeps it up, he might end up in Azkaban. And that would give You- Know-Who a clear field to--"
Harry Potter,Arthur Weasley,What?
Sirius Black,Harry Potter,You-Know-Who wants something. Something he didn't have last time. A weapon.
Harry Potter,Remus Lupin,What kind of weapon?
Remus Lupin,Harry Potter,"I'm sorry, Harry, we can't say anything more."
Molly Weasley,Harry Potter,"Morning, dear! Did you have a good sleep?"
Harry Potter,Molly Weasley,"No, my scar kept hurting."
Molly Weasley,Harry Potter,Probably just nerves…
Harry Potter,Molly Weasley,Yeah...nerves...
Molly Weasley,Hermione Granger,"Good luck, Harry!"
Hermione Granger,Harry Potter,"They'll have to let you off, Harry... You were defending yourself! I checked the laws."
Harry Potter,Hermione Granger,"Thanks, Hermione."
Ron Weasley,Hermione Granger,What does he get a hug for?
Hermione Granger,Ron Weasley,"When you have to go to a displinary hearing at the Ministry of Magic, I'll hug you too."
Ron Weasley,Hermione Granger,"Oh, sure, that's why."
Hermione Granger,Ron Weasley,"Ronald Wealsey, are you jealous?"
Ron Weasley,Hermione Granger,"Me? Jealous? Of course not, it just doesn't seem fair that you hug one friend more than the other, is all..."
Hermione Granger,Arthur Weasley,Would you like a hug?
Ron Weasley,Hermione Granger,"No, I'd hate to force you.."
Arthur Weasley,Harry Potter,"Well, come on, Harry. Time to go."
Harry Potter,Arthur Weasley,Bye.
Arthur Weasley,Harry Potter,"Good, good, not very many Muggles. "
Arthur Weasley,Harry Potter,"Well, come on Harry, in we go."
Arthur Weasley,Harry Potter,"I do love using the Fellytone! Now, let's see, what's the number again..."
Witch,Arthur Weasley,Welcome to the Ministry of Magic. Please state your business.
Arthur Weasley,Witch,"Harry Potter, disciplinary hearing."
Witch,Arthur Weasley,Pleas stand by.
Arthur Weasley,Witch,"Usually I Apparate, but you're too young, so I thought we'd take this scenic route."
Arthur Weasley,Harry Potter,"Keep close, Harry!"
Arthur Weasley,Perkins,"Ah, Perkins, good morn-"
Perkins,Arthur Weasley,"Arthur, they've changed the time of Potter's hearing."
Arthur Weasley,Perkins,Blast! Dumbledore thought they might try that.
Perkins,Arthur Weasley,It started at eight!
Arthur Weasley,Witch,"Good lord, that was five minutes ago! Come on, Harry!"
Witch,Harry Potter,Department of Mysteries.
Harry Potter,Arthur Weasley,Department of Mysteries?
Arthur Weasley,Harry Potter,"Yep, I've got no idea what they get up to in here, it's top secret."
Arthur Weasley,Harry Potter,"Come on, Harry!"
Harry Potter,Arthur Weasley,I've been there before...
Arthur Weasley,Cornelius Fudge,"Now, Harry, I find that highly unlikely…"
