Speaker,Spoken to,Dialogue
Angelina Johnson,Harry Potter,"Well, way to go, Potter. Your detention is at the same time as Quidditch practice!"
Harry Potter,Angelina Johnson,Oh! Sorry...
Angelina Johnson,Harry Potter,"Yeah, well, you're going to have to get out of it somehow. We're holding tryouts for Keeper now Wood's gone, and I wanted to have the whole team there."
Harry Potter,Angelina Johnson,"I'll never get out of it, Angelina."
Angelina Johnson,Harry Potter,"Well, just...don't do it again!"
Ron Weasley,Harry Potter,"Well, Harry, shall we start on Snape's report?"
Harry Potter,Ron Weasley,"Later, I've got detention."
Hermione Granger,Harry Potter,"Good luck, Harry."
Harry Potter,Hermione Granger,Thanks.
Dolores Umbridge,Harry Potter,"Ah, Potter. Sit down."
Dolores Umbridge,Harry Potter,"You're going to be doing lines, tonight, Mr. Potter, and you'll be using this quill."
Dolores Umbridge,Harry Potter,"You will write ""I will not tell lies"" until I tell you to stop. Understand?"
Harry Potter,Dolores Umbridge,There's no ink.
Dolores Umbridge,Hermione Granger,Oh...you won't need ink.
Dolores Umbridge,Harry Potter,"Problem, Potter?"
Dolores Umbridge,Harry Potter,"That's enough for this evening. Same time, tomorrow, and we'll see if we can get the message to sink in a bit deeper."
Hermione Granger,Harry Potter,"Hey, Harry."
Hermione Granger,Harry Potter,Have you seen Ron? I can't find him anywhere.
Harry Potter,Hermione Granger,"No, I haven't."
Hermione Granger,Dolores Umbridge,He's been acting fishy all week. He's up to something.
Harry Potter,Dolores Umbridge,Uh huh.
Harry Potter,Harry Potter,"Another night, another detention."
Dolores Umbridge,Ron Weasley,"That's enough for tonight, Potter. Let's see that hand."
Ron Weasley,Harry Potter,Harry! I tried out for Quidditch Keeper at the tryouts! I'm on the team!
Ron Weasley,Harry Potter,Harry--bloody hell!
Hermione Granger,Ron Weasley,He's got to be taken to the hospital wing.
Harry Potter,Hermione Granger,No. Can't give… Umbridge the satisfaction…
Fred Weasley,Harry Potter,Umbridge did this?
Ron Weasley,Harry Potter,You said she was making you do lines!
Harry Potter,Hermione Granger,She is. But the quill has some sort of spell on it. It uses blood for ink.
Hermione Granger,Harry Potter,That old hag! She's sick!
Hermione Granger,Harry Potter,"Oh, Harry. You've got  to go to Dumbledore. You can't keep this up."
Harry Potter,Hermione Granger,"No, I'm telling anyone."
Hermione Granger,Harry Potter,"Harry, I really think you should tell--"
Harry Potter,Hermione Granger,No!
Harry Potter,Hermione Granger,I don't need his help. I don't need anyone's help.
Hermione Granger,Harry Potter,Hagrid's still not back yet. I hope he's all right.
Harry Potter,Hermione Granger,I've asked Sirius about it.
Hermione Granger,Harry Potter,"Harry, you can't write to him! Owls are being intercepted, it isn't safe."
Harry Potter,Ron Weasley,"Don't worry, Hermione, I wrote it in code. Anyway, I figured I need to tell someone about Umbridge. My scar hurt again last night in detention."
Ron Weasley,Hermione Granger,Always knew she was a bit fishy.
Hermione Granger,Harry Potter,You think she's working for You- Know-Who?
Harry Potter,Hermione Granger,"Well, it's a possibility, isn't it?"
Hermione Granger,Harry Potter,"I suppose so. He could have her under the Imperious Curse, though it's unlikely. Dumbledore'd know."
Harry Potter,Hermione Granger,"Yeah, but Dumbledore didn't have a choice, did he? She'd been sent here by the Ministry."
Ron Weasley,Hermione Granger,Anything about Harry?
Hermione Granger,Ron Weasley,"No, nothing. Wait! Look at this!"
Hermione Granger,Harry Potter,"""Trespass at Ministry. Sturgis Podmore has appeared before the Wizengamot with charges of trespass and attempted roberry at the Ministry of Magic on the 31st of August. He was arrested when found trying to break into a top-security door at one in the morning. Podmore was convinced and sentenced to six months in Azkaban."""
Harry Potter,Ron Weasley,Sturgis Podmore?
Ron Weasley,Harry Potter,"Wait, he's one of the Order!"
Hermione Granger,Ron Weasley,Quiet!
Ron Weasley,Hermione Granger,Do you s'pose it was a frameup?
Dean Thomas,Everybody,"Come on, we'll be late for charms if we don't hurry"
Harry Potter,Everybody,You go on without me. I want to send this.
Harry Potter,Hedwig,Hedwig!
Harry Potter,Cho Chang,Hi.
Cho Chang,Harry Potter,Oh…hi. Didn't think anyone else would be up here.
Cho Chang,Harry Potter,Have you found a new Keeper for Quiddich
Harry Potter,Cho Chang,"Yeah, my friend Ron Weasley."
Cho Chang,Harry Potter,He any good?
Harry Potter,Cho Chang,"Well, he made the team. I missed the tryouts."
Cho Chang,Harry Potter,"Yeah, Umbridge. You were really brave, standing up to her."
Harry Potter,Cho Chang,"Yeah…well, it was the truth"
Argus Filch,Harry Potter,"Right, Potter. I'll have what you're sending."
Harry Potter,Argus Filch,What?
Argus Filch,Harry Potter,I have had a tip-off that you are ordering a large quantity of Dungbombs! Now hand it over.
Harry Potter,Argus Filch,"You're too late, it's gone"
Cho Chang,Harry Potter,"Yeah, I saw him send it"
Argus Filch,Harry Potter,"I get a single whiff of a Dungbomb in this castle, Potter… and you're mine."
Cho Chang,Harry Potter,"Um, you weren't ordering dungbombs, were you?"
Harry Potter,Cho Chang,No.
Cho Chang,Harry Potter,"I wonder why he'd think you were. Well, see you, Harry."
Hermione Granger,Hermione Granger,What a load of rubbish!
Hermione Granger,Harry Potter,"You, ordering dungbombs. I mean, really."
Harry Potter,Hermione Granger,"Yeah, it doesn't make any sense"
Hermione Granger,Harry Potter,"Unless whoever tipped Filch off was interested in reading your mail, Harry. I mean, doesn't it seem a littler too cincidental that Filch was tipped off when you happened to be sending a message to Sirius"
Harry Potter,Hermione Granger,Yeah that does seem weird. You figure its umbridge?
Hermione Granger,Harry Potter,I don't know.
Lucius Malfoy,Ron Weasley,"Hey, Weasley! Nice job out on the field today! You'll be our best player on the pitch!"
Harry Potter,Lucius Malfoy,"Get bent, Malfoy"
Ron Weasley,Lucius Malfoy,"No, he's right. I'm useless out there. Complete rubbish."
Harry Potter,Ron Weasley,It's your first practice. Don't worry about it.
Ron Weasley,Harry Potter,I'm gonna make a fool of myself out there
Hermione Granger,Harry Potter,"Are you all right, Harry?"
Harry Potter,Hermione Granger,Yeah. Its just… the pain's getting stronger.
Hermione Granger,Ron Weasley,I don't know how we're ever going to pass our O.W.L.s in defense against the dark arts without any practice! That Umbridge woman is so…
Hermione Granger,Ron Weasley,We've got to do something about her.
Ron Weasley,Hermione Granger,"Yeah, well, poison should do the trick."
Hermione Granger,Harry Potter,"Don't be silly, Ron. Not her, I meant her teaching. We're not going to learn anything in that class."
Harry Potter,Hermione Granger,"Yeah, that's true."
Hermione Granger,Ron Weasley,"Anyway, I thought we should do it ourselves."
Ron Weasley,Hermione Granger,Do what?
Hermione Granger,Ron Weasley,Defense Against the Dark Arts. We'd teach ourselves.
Harry Potter,Hermione Granger,I don't know…
Ron Weasley,Hermione Granger,Hermes?
Ron Weasley,Everybody,It's from Percy
Harry Potter,Ron Weasley,Read it.
Ron Weasley,Everybody,"""Dear Ron, congratualtions on becoming a Prefect. For some time I was worried you would take the 'Fred and George' route instead of following my footsteps. You can imagine my relief that this is not the case""."
Hermione Granger,Ron Weasley,Keep reading.
Ron Weasley,Everybody,"""Given your attachment to using me as a role model, I will give you a bit of advice from one respecter of authority to another. It is likely that you have been seeing quite a lot with Harry Potter of late. I must recommend you break ties with that boy as soon as possible. He may be Dumbledore's favorite, but Dumbledore may not be in charge at Hogwarts much longer. Your loyalities should lie with the Ministry of Magic, not Dumbledore and Potter's personality cult. Please do not fear breaking ties with Potter. If trouble arrises, go to Dolores Umbridge, a truly delightful woman, I hope you will carefully consider my advice to you, Ron. Don't let the dangerous errors of Dumbledore, Potter, and unfortunately our parents lure you into destroying a perfectly good career. Percy."""
Harry Potter,Ron Weasley,"Well, if you want to, ah, ""break ties"" with me, I swear I won't get violent."
Ron Weasley,Harry Potter,He is the world's biggest git!
Sirius Black,Harry Potter,Watch it!
Harry Potter,Sirius Black,Sirius?
Sirius Black,Harry Potter,Right you are. Got you letter and though we should talk in person.
Sirius Black,Harry Potter,What was that?
Harry Potter,Sirius Black,Letter from Percy.
Ron Weasley,Sirius Black,"Yah, full of the usual rubbish."
Hermione Granger,Sirius Black,Except he did mention that Dumbledore might not be in charge here much longer.
Sirius Black,Hermione Granger,It doesn't surprise me. Fudge wants Dumbledore out.
Harry Potter,Sirius Black,Why?
Sirius Black,Harry Potter,He's worried Dumbledore is trying to turn the students against the Ministry.
Hermione Granger,Sirius Black,"Well, that would explain why Umbridge isn't teaching us anything useful in Defense against the Dark Arts."
Sirius Black,Hermione Granger,That's exactly what he's worried about. Fudge is getting more paranoid about Dumbledore every day.
Harry Potter,Sirius Black,What do you know about Umbridge?
Sirius Black,Harry Potter,She's a nasty piece of work. Apparently she hates part-humans.
Harry Potter,Sirius Black,Could she be a Death Eater?
Sirius Black,Harry Potter,"The Order Seriously doubts it. She's no picnic, but she's no Eater either."
Harry Potter,Sirius Black,But she's evil.
Sirius Black,Harry Potter,"The world isn't split into the Order and the Death Eaters, Harry."
Sirius Black,Harry Potter,"As to your question about Hagrid, well, no one is really sure what happened to him. Actually. He was supposed to be back a while ago."
Hermione Granger,Sirius Black,What?
Sirius Black,Hermione Granger,Dumbledore's not worried about his though. Hagrid's tough. He'll be all right.
Ron Weasley,Sirius Black,But if he was supposed to be back by now…
Sirius Black,Ron Weasley,"Look, asking questions about him will only make it more obvious that he's not back."
Sirius Black,Everybody,Get out of here!
Hermione Granger,Everybody,I cannot believe it!
Ron Weasley,Everybody,"""Ministry Passes Educational Decree Number Twenty-Three: Dolores Umbridge Appointed Hogwarts High Inquistor""?"
Ron Weasley,Everybody,What's that mean?
Hermione Granger,Ron Weasley,It says here that the High Inquistor has the power to inspect all of the teachers.
Harry Potter,Hermione Granger,Your'e Kidding!
Hermione Granger,Harry Potter,That's not all. The High Inquisitor also has the power to sack teachers as well.
Fred Weasley,Everybody,"So, seen the news have you?"
George Weasley,Everybody,"Personally, I envy you three."
Ron Weasley,George Weasley,Why's that?
George Weasley,Ron Weasley,Umbridge is inspecting McGonagall in your period. That old toad won't know what hit her
George Weasley,Ron Weasley,"Oh, to be a youth again, to experience the innocent glee of watching Umbridge be destroyed by the greatest Head of Gryffindor this century"
Fred Weasley,Everybody,"Well, we'll expect a full report after."
George Weasley,Everybody,Complete with facial expressions.
Sybill Trelawney,Everybody,Greetings my children. I sense even now that many of you have already made the transition into the beyond!
Sybill Trelawney,Everybody,Today we will be continuing our interpretation of prophetic dreams. Please divide into your groups and discuss your recent night time visions using the text as a guide.
Dolores Umbridge,Sybill Trelawney,And how long have you been at this post?
Sybill Trelawney,Dolores Umbridge,Near to sixteen years I have been guide to young seers possessed of the Inner sight.
Dolores Umbridge,Sybill Trelawney,I understand you are the descendent of the famous Seer Cassandra Trelawney?
Sybill Trelawney,Dolores Umbridge,I am.
Dolores Umbridge,Sybill Trelawney,And you are the first since Cassandra to have the Second Sight?
Sybill Trelawney,Dolores Umbridge,These things tend to skip...several...generations.
Dolores Umbridge,Sybill Trelawney,Of course.
Dolores Umbridge,Sybill Trelawney,"Now, if you would kindly make a prediction for me?"
Dolores Umbridge,Sybill Trelawney,The Inner Eye does not See upon command!
Sybill Trelawney,Harry Potter,"My dear boy, your dream diary, if you please!"
Sybill Trelawney,Harry Potter,My dear boy! My poor boy! These dreams are evil portends!
Harry Potter,Sybill Trelawney,"""Dreamt I was at breakfast eating oatmeal""?"
Sybill Trelawney,Harry Potter,"Yes, yes, oatmeal! Are you telling me you cannot see the signs? The foretelling of suffering and death?"
Harry Potter,Sybill Trelawney,Er...
Sybill Trelawney,Harry Potter,Perhaps you are not as in the beyond as the others.
Dolores Umbridge,Harry Potter,"Well, if that's the best you can do, Professor, I will be going."
Harry Potter,Hermione Granger,"Where are we going, Hermione?"
Hermione Granger,Ron Weasley,There we are.
Ron Weasley,Hermione Granger,"""The Hog's Head,"" Hermione?"
Hermione Granger,Harry Potter,"Come on, I'll explain in a minute."
Harry Potter,Hermione Granger,"Hermione, what's going on?"
Hermione Granger,Harry Potter,These are some people I mentioned my Defense Against the Dark Arts idea with.
Harry Potter,Hermione Granger,You mean about us teaching ourselves?
Neville Longbottom,Harry Potter,"Hey, Harry."
Harry Potter,Neville Longbottom,"Hey, Neville."
Luna Lovegood,Harry Potter,"It's good to see that the horned snorkle-stacks haven't gotten you yet, Harry."
Harry Potter,Luna Lovegood,"Uh...same to you, Luna."
Hermione Granger,Everybody,"Hi Everybody. I thought it would be good if we met and talked over how we wanted to teach ourselves Defense Against the Dark Arts. Because we need to learn it properly, not the rubbish Umbridge is doing."
Fred Weasley,Hermione Granger,"Hear, hear!"
Hermione Granger,Everybody,"Obviously, this will help us pass our O.W.L.s, but more importantly, it gives us the ability to protect ourselves from...Lord Voldemort. Several people jump or wince in fear at the name."
Harry Potter,Hermione Granger,That's the first time you've said his name.
Zacharias Smith,George Weasley,How do we know You-Know-Who's really back?
George Weasley,Justin Finch-Fletchley,Dumbledore believes he is.
Justin Finch-Fletchley,Hermione Granger,You mean Dumbledore believes him.
Hermione Granger,Harry Potter,"That's true, but I think we're drifting from the purpose--"
Harry Potter,Hermione Granger,"It's okay, Hermione."
Harry Potter,Hermione Granger,I believe Voldemort's back because I fought him last year. Dumbledore's already told the school that. If you didn't believe him you won't believe anyone.
Hermione Granger,Everybody,"Well...anyway...uh, I think that in order to learn properly we'll need a teacher."
Neville Longbottom,Hermione Granger,But we're all students. None of us has the experience to--
Ginny Weasley,Harry Potter,Someone here does. Everybody looks at her. She is staring directly at Harry.
Harry Potter,Hermione Granger,Me?
Michael Corner,Everybody,I for one would like to know why Potter's qualified and the rest of us aren't.
Ginny Weasley,Everybody,"Well, he's only confronted You-know-Who himself four times and lived to talk about it."
Susan Bones,Harry Potter,One of the portraits said you'd killed a Basilisk in the Chamber of Secrets with that sword in Dumbledore's office.
Harry Potter,Susan Bones,"Uh...well, yeah, I did."
Lee Jordan,Harry Potter,"Blimey, Harry..."
Lavander Brown,Harry Potter,Wow...
Fred Weasley,Harry Potter,Can't forget that he saved the Sorcerer's Stone from You-Know-Who in his first year.
Cho Chang,Fred Weasley,And last year he got through the Triwizard Tournament!
Ron Weasley,Cho Chang,Not to mention you dueled with You- Know-Who all alone and he still couldn't kill you!
Ginny Weasley,Hermione Granger,And you fought off those dementors that attacked you this summer.
Hermione Granger,Neville Longbottom,So all in favor of taking lessons from Harry? Where are we going to meet?
Neville Longbottom,Harry Potter,What about an unused classroom?
Harry Potter,Hermione Granger,That might work. I'll look into that.
Hermione Granger,Ernest Macmillan,"Ok, good. I think we should put our names down, so we know who was here."
Ernest Macmillan,Hermione Granger,"I don't know...if it were found...I mean, Umbridge wouldn't like what we're doing..."
Hermione Granger,Angelina Johnson,"Honestly, Ernie, do you think I'd just leave it lying around? Besides, its enchanted. Also, what should we call ourselves?"
Angelina Johnson,Hermione Granger,What about the Anti-Unbridhe League?
Hermione Granger,Ginny Weasley,We need something that doesn't give away what we're doing.
Ginny Weasley,Hermione Granger,I think it should be Dumbledore's Army.
Hermione Granger,Harry Potter,"Dumbdore's Army it is, then. The D.A. for short. We'll let you know when we're going I think that went well."
Hermione Granger,Harry Potter,I think that went well.
Harry Potter,Hermione Granger,Yeah.
Hermione Granger,Harry Potter,"And did you see Cho, Harry? "
Harry Potter,Hermione Granger,What about her?
Hermione Granger,Harry Potter,"Well, she couldn’t keep her eyes off you, could she?!"
Angelina Johnson,Harry Potter,"Harry, you won't believe...that Umbridge woman...this is too much!!"
Harry Potter,Angelina Johnson,What's she done now?
Angelina Johnson,Harry Potter,Follow me.
Harry Potter,Angelina Johnson,"""By order of the Hogwarts High Inquisitor: All student organizations, societies, teams, groups, and clubs are henceforth disbanded. Permission to reform must be approved by High Inquisitor Umbridge. No student organization can exist without the knowledge and approval of the High Inquisitor. Any student found to be a part of an illegal organization will be expelled immediately."""
Angelina Johnson,Harry Potter,She refused to allow us to reform the Gryffindor team. We had to go to Dumbledore to get her to allow it.
Harry Potter,Ron Weasley,"Not only that, but what about the D.A.? This isn't a coincidence. She knows."
Ron Weasley,Harry Potter,She can't!
Harry Potter,Ron Weasley,"Look, we don't know how many people could have overheard our meeting and told her."
Ron Weasley,Hermione Granger,Or somebody at the meeting could have blabbed to her.
Hermione Granger,Harry Potter,"No, they couldn't have. The parchment we all signed was enchanted, like I said. No one can betray the D.A. without us knowing."
Harry Potter,Hermione Granger,"What would we do without you, Hermione? Hedwig!"
Hermione Granger,Ron Weasley,She's hurt!
Ron Weasley,Hermione Granger,She doesn't look very good.
Hermione Granger,Minerva McGonagall,"Harry, you'd better take her to Professor Grubby-Plank. She'll know what to do."
Minerva McGonagall,Harry Potter,Potter! Where on earth are you going at this time of night?
Harry Potter,Minerva McGonagall,It's Hedwig. I think she's been attacked.
Minerva McGonagall,Harry Potter,"What? Yes, I think you might be right, Potter."
Minerva McGonagall,Harry Potter,Where was she coming from?
Harry Potter,Minerva McGonagall,London.
Minerva McGonagall,Harry Potter,"Well, give her to me. I'll run her down to  Professsor Grubby-Plank. There you are. Bear in mind, Potter, that channels of communication in and out of Hogwarts are being watched, won't you?"
Harry Potter,Minerva McGonagall,"Yes, Professor."
Minerva McGonagall,Harry Potter,"Good. Now, off to bed."
Dobby,Harry Potter,Mr. Harry Potter!
Harry Potter,Dobby,Dobby! What are you doing here?
Dobby,Harry Potter,"Dobby is cleaning, sir."
Harry Potter,Dobby,"What is it, Dobby."
Dobby,Harry Potter,Dobby...Dobby wishes he could help Harry Potter. Dobby has heard him muttering in his sleep.
Harry Potter,Dobby,"Don't worry about it, Dobby. But I don't think you can help me. Actually, there is something you can do, Dobby. I need a room where twenty-eight people can practice Defense Against the Dark Arts without the teachers knowing. Especially Professor Umbridge."
Dobby,Harry Potter,"Dobby knows of the perfect place, Harry Potter! It is the Room of Requirement, sir. You can only use the room in times of great need. Whatever you need will be there for you, Harry Potter."
Harry Potter,Dobby,"That's brilliant, Dobby!"
Dobby,Harry Potter,"Dobby can show you now, if you wish, Harry Potter."
Harry Potter,Dobby,"Better not, Dobby. School is pretty intense right now. We'll do it ina few months, before the holidays."
Lee Jordan,Students,...and Slytherin is up forty to ten. Alica with the quaffle!
Students,Harry Potter,"Weasley is our King, Weasley is our King, He always lets the Quaffle in, Weasley is our King!"
Harry Potter,Ron Weasley,"Just ignore them, Ron!"
Lee Jordan,Students,Another ten points to Slyterin. The score is now fifty-ten in favor of Slytherin.
Draco Malfoy,Ron Weasley,"I should thank you, Weasley. You're definitely our best player!"
Hermione Granger,Harry Potter,"Harry, are you all right?"
Draco Malfoy,Harry Potter,"Bet you loved that, Potter! Saved Weasley's neck, didn't you? I've never seen a worse Keeper! Maybe we should add some more verses to our little song. About his filthy mother! And his pathetic loser of a father too! But then, you like the Weasleys, don't you? How can you stand the stink? I guess it reminds you of your own dear mother!"
Rolanda Hooch,Everybody,Impedimenta! What on earth do you think you're doing?
Rolanda Hooch,Harry Potter,"Don't make me stupify you, Potter!"
Minerva McGonagall,Harry Potter,"My office. Now. In all my thirty-nine years at this school, I have never seen such a disgusting display."
Harry Potter,Minerva McGonagall,Malfoy provoked us.
Minerva McGonagall,Dolores Umbridge,"Of course he wanted to provoke you! He'd just lost! I cannot express in words the disappointment I feel right now. What is it, Dolores?"
Dolores Umbridge,Minerva McGonagall,I thought you might need some additional authority in dealing with these two.
Minerva McGonagall,Dolores Umbridge,You thought wrong. Now kindly remove yourself from my office. 
Minerva McGonagall,Everybody,"Now, I don't care what Malfoy said. Your performance out there was shameful. Fifty points from Gryffindor, and I'm giving you both a week's worth of detentions."
Dolores Umbridge,Minerva McGonagall,"I hardly think that's an adequate punishment for this. Educational Decree Twenty-Five. It gives me, as High Inquisitor, the power to give punishments and privileges, and to alter those given out to students by other members of the staff. So, I think a life-long ban from playing quidditch should do the trick for both of these. Oh, and this one's twin as well. He was going to attack Malfoy as well."
Harry Potter,Dolores Umbridge,Ban us...for life.
Dolores Umbridge,Harry Potter,"Yes, indeed, Mr. Potter. Ah, I'll take your brooms as well. Well, have a wonderful day."
Harry Potter,Minerva McGonagall,You've--!
Minerva McGonagall,Harry Potter,"My hands are tied, Potter."
Angelina Johnson,Ron Weasley,I can't believe it...three players banned for life in one day...
Ron Weasley,Angelina Johnson,I'm going to resign.
Harry Potter,Ron Weasley,You can't!
Ron Weasley,Harry Potter,I'm horrible! I should never have joined.
Harry Potter,Ron Weasley,"If you quit, we'll be out four players!"
Ron Weasley,Harry Potter,This is the worst day of my life.
Hermione Granger,Ron Weasley,I know something that could cheer you up. 
Ron Weasley,Hermione Granger,"Hermione, give it up."
Hermione Granger,Ron Weasley,Hagrid's back!
Harry Potter,Rubeus Hagrid,"Hagrid, what happened to you?"
Rubeus Hagrid,Ron Weasley,"I've fine, I tell yeh!"
Ron Weasley,Rubeus Hagrid,"Come off it, Hagrid! We're not blind!"
Hermione Granger,Rubeus Hagrid,Was it because of the giants?
Rubeus Hagrid,Harry Potter,"Can' answer tha', I'm afraid. Top secret, that is. Business of the Order."
Harry Potter,Rubeus Hagrid,"We know you were looking for giants, Hagrid. Dumbledore said so last year."
Rubeus Hagrid,Ron Weasley,"Oh. Well, yeah, I was, then. Went with Madame Maxime. Took us a month to get to their camp."
Ron Weasley,Rubeus Hagrid,A month?
Rubeus Hagrid,Harry Potter,"O' course! Can' do magic, not with the Ministry followin' us all the way. Plus, giants aren't fond o' wizards. Don' trust 'em."
Harry Potter,Rubeus Hagrid,So what did you do when you found them?
Rubeus Hagrid,Harry Potter,Waited 'till mornin' an' then marched righ' in.
Rubeus Hagrid,Harry Potter,"We gave 'em gift, jus' like Dumbldore said. Gave 'em a branch o' Gubraithian fire, Everlasting Flame. Giants love magic, see, jus' not too fond o' wizards. Nuthin'. Giant loves better than magic."
Harry Potter,Rubeus Hagrid,What happened then?
Rubeus Hagrid,Harry Potter,"We sat down, an' had a talk. Well, mostly they listened good. But there were good signs. Well, they did 'till tha' night. Tha's when everythin' went wrong. There were a coup. Nex' mornin' there were a new chief. We went back ter see what we could do with this new chief. An' thn things got even worse. Death Eaters arrived, an' the new chief were all happy ter be seein' them! We figured, jus' cause some o' the giants were favorin' You-Know-Who don't  mean all of 'em were. The coup ha' driven the ol' chief's supporters into some caves, so we wen' in after 'em."
Ron Weasley,Rubeus Hagrid,You went into caves looking for giants?
Rubeus Hagrid,Ron Weasley,"We foun' enough, an' they seemed interested-- at first. Then the new chief's lot raided the caves. Tweren't many survivors, an' none o' them wanted anythin' to do with us after tha'."
Ron Weasley,Rubeus Hagrid,So...no giants are coming?
Rubeus Hagrid,Ron Weasley,"Well, not righ' away. We brought our message, an' I expec' a fair few'll remember it afore teh end comes."
Harry Potter,Everybody,Glad to see all of you could find this place all right.
Neville Longbottom,Harry Potter,"Hey, Harry, what is all this stuff?"
Harry Potter,Neville Longbottom,Loads of Defense Against the Dark Arts equipment. Hopefully we'll be able to get to all of it before the end of term.
Harry Potter,Neville Longbottom,"You need to understand something before we start, though. Defending yourself frm the Dark Arts has less to do with magical ability and more to do with thinking fast and a lot of luck. "
Zacharias Smith,Harry Potter,Oh please. Professor Lockhart taught us that in second year.
Ron Weasley,Zacharias Smith,Lockhart didn't teach as much as prune himself.
Harry Potter,Ron Weasley,"Besides, it works. I used it against You-Know-Who last June. It saved my life. Right. Well, let's split into pairs and give it a go."
Neville Longbottom,Harry Potter,Expelliarmus!
Harry Potter,Neville Longbottom,"Well done, Neville! Look here, you lot! Neville's really got the hang of this one."
Neville Longbottom,Harry Potter,Expelliarmus! I did it! I did it!
Harry Potter,Neville Longbottom,"Never forget this spell, Neville. It could save your live some day. Okay, Everybody. We've done a lot today, and I've seen some great improvement. That's it for now. We'll meet back here, same time next week!"
Neville Longbottom,Ron Weasley,What's wrong with him?
Ron Weasley,Minerva McGonagall,Get McGonagall! Go! Harry! HARRY!
Minerva McGonagall,Harry Potter,"Potter! Wake up, Potter. Wake up. Please..."
Harry Potter,Minerva McGonagall,Mr. Weasley's been attacked!
Minerva McGonagall,Harry Potter,"You dreamed this, Potter?"
Harry Potter,Minerva McGonagall,"No, I saw it happen! I...I was there..."
Minerva McGonagall,Harry Potter,"You're sure this happened, Potter? "
Harry Potter,Minerva McGonagall,Yes! We've got to do something or he will die!
Minerva McGonagall,Harry Potter,"We're going to see the Headmaster, Potter."
Minerva McGonagall,Ron Weasley,"Weasley, you'd best come too."
Albus Dumbledore,Minerva McGonagall,"Professor McGonagall, and...ah... What can I do for you?"
Minerva McGonagall,Albus Dumbledore,"Well, Potter has had some kind of nightmare..."
Harry Potter,Albus Dumbledore,"It wasn't a nightmare! Well, I was asleep, but it wasn't  a normal dream. It was… well, real. I saw, well--Mr.Weasley has been attacked by a gian snake."
Albus Dumbledore,Harry Potter,How did you see this? How were you positioned when you saw it?
Harry Potter,Albus Dumbledore,Oh. Uh...I was the snake. I saw it from the snake's perspective.
Albus Dumbledore,Harry Potter,Is Arthur seriously injured?
Harry Potter,Albus Dumbledore,Yes!
Albus Dumbledore,Everard,You were listening?
Everard,Albus Dumbledore,Naturally.
Albus Dumbledore,Everybody,"Raise the alarm. We must make sure Arthur is found by the right people. Many of our previous headmasters and mistresses have portraits in other institutions, allowing them to move between them. Fawkes, we will need a warning. Naturally, naturally. What news?"
Everard,Albus Dumbledore,I shouted until someone came. They carried him up seconds ago. He doesn't look good. Covered in blood...
Dilys Derwent,Albus Dumbledore,"Dumbledore, I've just seen them arrive at St. Mungos. Apperated there moments ago. He looks really bad."
Albus Dumbledore,Minerva McGonagall,"Good. Minerva, the rest of the Weasleys will need to be awoken.  "
Albus Dumbledore,Phineas Nigellus Black,"Phineas. Phineas, I need you to visit your other portrait. Tell Sirius what happened and that we are coming to stay for a while"
Phineas Nigellus Black,Albus Dumbledore,"It's late, Dumbledore... I'm going, I'm going..."
Albus Dumbledore,black pot,Portus
Ginny Weasley,Harry Potter,"Harry, what's happening"
Albus Dumbledore,Ginny Weasley,"Your father has been injured in the course of his work for the Order. He is alive and arrived at St.Mungo's Hospital for Magical Maladies and Injures only moments ago. We, however, are going to Sirius's house until the morning. We're merely waiting for Phineas to return. Fawkes's warnign. Umbridge knows you're out of bed"
Albus Dumbledore,Minerva McGonagall,"Minerva, head her off. Tell her anything you can think of. "
Phineas Nigellus Black,Albus Dumbledore,He says he'd be delighted
Albus Dumbledore,Phineas Nigellus Black,We're going by Portkey
Sirius Black,Albus Dumbledore,There you are.
Ginny Weasley,Sirius Black,We've got to go to St. Mungo's
Sirius Black,Ginny Weasley,"No, you can’t"
George Weasley,Sirius Black,We can go where we please.
Sirius Black,George Weasley,We can't go yet. It would look to suspicious if you lot showed up fifteen minutes after Arthur arrives because Harry's been seeing visions of things happening hundreds of miles from Hogwarts.
George Weasley,Sirius Black,That's our father out there dying!
Sirius Black,George Weasley,I can't let you leave. I'm sorry.
Fred Weasley,Sirius Black,You don't even care! You wouldn't even understand!
Sirius Black,Fred Weasley,I was part of the first Order. I lost my best friends to You-Know-Who.
Sirius Black,Harry Potter,"He's all I have left of them. Believe me, I don't want Arthur to die. But there are some things worth dying for!"
Mrs.Weasley,Everybody,Your father's alive. He's going to make it.
Harry Potter,Sirius Black,"Siriuse, I --"
Sirius Black,Harry Potter,"You can tell me, Harry."
Harry Potter,Sirius Black,"When I saw the attack, well, I was the snake."
Sirius Black,Harry Potter,What?
Harry Potter,Sirius Black,"I felt the fangs like they were mine, saw through the snake's eyes like they were mine…I think I ight be going mad."
Sirius Black,Harry Potter,Nonsense. You're just tired. You've had a rough night.
Harry Potter,Sirius Black,But what if there's a snake inside me?
Sirius Black,Harry Potter,You've told Dumbledore this? Then there's nothing to worry about.
Nymphadora Tonks,mannequin,We're here to see Arthur Weasley.
Mrs.Weasley,Everybody,"This way, come one!"
Nymphadora Tonks,Mrs.Weasley,"We'll wait outside at first, Molly. It should be family first."
Mrs.Weasley,Harry Potter,"Don't be silly, Harry. You too."
Mrs.Weasley,Everybody,"Hullo, Everybody!"
